"Site_ID","Longitude","Latitude",
"CRMS0530","-92.01054","29.57767",
"CRMS0531","-91.94804","29.85347",
"CRMS0532","-91.94804","29.82444",
"CRMS0535","-92.16679","29.64299",
"CRMS0536","-92.26054","29.58492",
"CRMS0541","-92.04112","29.61621",
"CRMS0542","-91.63553","29.80266",
"CRMS0543","-91.63553","29.75186",
"CRMS0544","-91.57303","29.68654",
"CRMS0545","-91.60428","29.71557",
"CRMS0547","-91.69803","29.83895",
"CRMS0549","-91.85429","29.8317",
"CRMS0550","-91.69803","29.76637",
"CRMS0551","-91.54178","29.70105",
"CRMS0552","-92.13554","29.79541",
"CRMS0553","-93.01057","29.84623",
"CRMS0554","-92.6668","29.83171",
"CRMS0556","-92.79181","29.91155",
"CRMS0557","-92.66681","29.94058",
"CRMS0560","-92.5418","29.85348",
"CRMS0562","-92.76056","29.76639",
"CRMS0565","-92.44805","29.79541",
"CRMS0567","-92.44805","29.90428",
"CRMS0568","-92.4168","29.78815",
"CRMS0570","-92.38555","29.80267",
"CRMS0571","-92.29179","29.70831",
"CRMS0572","-92.29179","29.78815",
"CRMS0574","-92.63555","29.79542",
"CRMS0575","-92.94807","29.94058",
"CRMS0576","-92.4793","29.59219",
"CRMS0580","-92.32305","29.6067",
"CRMS0581","-92.72931","29.66477",
"CRMS0583","-92.91681","29.83896",
"CRMS0584","-92.85431","29.79542",
"CRMS0587","-92.91681","29.79542",
"CRMS0588","-92.82306","29.77364",
"CRMS0589","-92.82306","29.66477",
"CRMS0590","-92.82306","29.93332",
"CRMS0593","-92.76056","29.99139",
"CRMS0595","-92.63555","29.85348",
"CRMS0599","-92.66681","29.6067",
"CRMS0600","-92.54181","29.57767",
"CRMS0603","-92.76056","29.80268",
"CRMS0604","-92.76056","29.75912",
"CRMS0605","-92.91682","29.86074",
"CRMS0608","-92.6668","29.67203",
"CRMS0609","-92.6043","29.63574",
"CRMS0610","-92.63555","29.6067",
"CRMS0614","-92.88556","29.73736",
"CRMS0615","-92.82306","29.67929",
"CRMS0616","-92.26054","29.73009",
"CRMS0618","-92.26054","29.73735",
"CRMS0619","-92.26054","29.68654",
"CRMS0622","-92.97931","29.80993",
"CRMS0623","-92.51055","29.63573",
"CRMS0624","-92.88556","29.86074",
"CRMS0626","-92.6043","29.6938",
"CRMS0630","-92.79182","29.78626",
"CRMS0632","-92.38555","29.57041",
"CRMS0633","-92.32304","29.56315",
"CRMS0635","-93.47932","29.91881",
"CRMS0638","-93.51057","29.868",
"CRMS0639","-93.47932","29.88977",
"CRMS0641","-93.51057","29.89703",
"CRMS0642","-93.47932","29.868",
"CRMS0644","-93.29182","29.83171",
"CRMS0645","-93.19807","29.84623",
"CRMS0647","-93.47932","29.84623",
"CRMS0648","-93.16682","29.83897",
"CRMS0650","-93.13557","29.91881",
"CRMS0651","-93.51057","29.96236",
"CRMS0655","-93.41682","29.79542",
"CRMS0656","-93.26057","30.02042",
"CRMS0658","-93.60432","30.05671",
"CRMS0660","-93.66682","29.91881",
"CRMS0661","-93.63557","29.84623",
"CRMS0662","-93.69808","30.03494",
"CRMS0663","-93.69808","30.01316",
"CRMS0665","-93.69807","29.96236",
"CRMS0669","-93.72932","29.88251",
"CRMS0672","-93.41682","29.83171",
"CRMS0677","-93.54182","29.85349",
"CRMS0680","-93.51057","29.77365",
"CRMS0682","-93.57307","29.82445",
"CRMS0683","-93.66682","29.88977",
"CRMS0684","-93.82308","29.81719",
"CRMS0685","-93.38557","29.88977",
"CRMS0687","-93.35432","29.94058",
"CRMS0691","-93.10432","29.96235",
"CRMS0693","-93.63557","29.89703",
"CRMS0694","-93.54182","29.88251",
"CRMS0697","-93.66698","30.06418",
"CRMS0978","-90.29251","29.32365",
"CRMS1024","-89.37876","29.87473",
"CRMS1069","-89.21826","30.0485",
"CRMS1100","-92.44805","29.65751",
"CRMS1130","-92.38555","29.70106",
"CRMS1205","-93.57307","29.87526",
"CRMS1277","-92.4793","29.82445",
"CRMS1409","-93.01057","29.868",
"CRMS1413","-93.01057","29.89703",
"CRMS1446","-92.82306","29.92606",
"CRMS1650","-92.04179","29.80992",
"CRMS1738","-93.22932","29.85349",
"CRMS1743","-93.22932","29.88978",
"CRMS1838","-93.69807","29.7809",
"CRMS1858","-93.51057","29.83897",
"CRMS1965","-92.4793","29.63573",
"CRMS2041","-92.16679","29.76638",
"CRMS2154","-93.69807","29.84623",
"CRMS2156","-93.69807","29.87526",
"CRMS2166","-93.69808","29.98413",
"CRMS2189","-93.76058","29.92606",
"CRMS2219","-93.60432","29.76639",
"CRMS2334","-93.51057","29.88252",
"CRMS2418","-93.16682","29.87526",
"CRMS2493","-92.88556","29.82445",
"CRMS2568","-91.35427","29.56315",
"CRMS2608","-89.31328","29.22983",
"CRMS2614","-89.32296","29.33814",
"CRMS2627","-89.18735","29.2287",
"CRMS2634","-89.26046","29.22927",
"CRMS2825","-90.448","29.49783",
"CRMS2830","-90.34074","30.03624",
"CRMS2854","-89.97923","30.30348",
"CRMS3054","-90.35425","29.72283",
"CRMS3136","-90.63551","29.94783",
"CRMS3166","-90.28868","29.8585",
"CRMS3169","-90.27227","29.88891",
"CRMS3296","-90.47925","29.38896",
"CRMS3565","-90.10424","29.49783",
"CRMS3590","-89.94798","29.48331",
"CRMS3601","-89.94798","29.57767",
"CRMS3617","-89.91673","29.54863",
"CRMS3626","-89.85423","30.10751",
"CRMS3639","-89.85423","29.90427",
"CRMS3641","-89.85423","29.91879",
"CRMS3650","-89.82298","30.0567",
"CRMS3664","-89.82298","29.91153",
"CRMS3667","-89.88548","30.25993",
"CRMS3680","-89.79173","29.51235",
"CRMS3784","-89.66672","30.15832",
"CRMS3800","-89.66672","29.83896",
"CRMS3913","-90.47925","30.16557",
"CRMS3985","-90.14901","29.7175",
"CRMS4014","-91.32302","29.54863",
"CRMS4016","-91.38552","29.56315",
"CRMS4045","-91.01051","29.38169",
"CRMS4094","-90.14679","30.38572",
"CRMS4103","-90.04173","29.6575",
"CRMS4107","-89.85423","30.0567",
"CRMS4110","-89.66672","30.20187",
"CRMS4218","-90.16674","29.56315",
"CRMS4245","-90.13549","29.67202",
"CRMS4355","-89.82298","29.83896",
"CRMS4406","-89.72922","30.20187",
"CRMS4407","-89.72922","30.22363",
"CRMS4448","-89.22921","29.21475",
"CRMS4455","-90.94801","29.2583",
"CRMS4529","-89.82298","29.46879",
"CRMS4548","-89.66672","29.86073",
"CRMS4551","-89.60422","29.85348",
"CRMS4557","-89.57297","29.82444",
"CRMS4572","-89.47921","30.0567",
"CRMS4596","-89.44796","30.0567",
"CRMS4626","-89.19796","29.33814",
"CRMS4690","-90.04174","29.49783",
"CRMS4779","-91.44736","29.64299",
"CRMS4782","-91.44702","29.66477",
"CRMS4808","-91.41576","29.63574",
"CRMS4809","-91.41553","29.65026",
"CRMS4900","-91.2594","29.63573",
"CRMS4938","-91.32278","29.61395",
"CRMS5035","-91.03966","29.62121",
"CRMS5116","-90.90878","29.96955",
"CRMS5167","-90.77862","30.14367",
"CRMS5255","-90.59718","30.19451",
"CRMS5267","-90.6023","30.29963",
"CRMS5373","-90.63077","30.10068",
"CRMS5414","-90.63067","30.15824",
"CRMS5452","-90.53218","30.36863",
"CRMS5536","-91.12931","29.96961",
"CRMS5845","-90.68545","30.18719",
"CRMS6038","-91.35392","29.6067",
"CRMS6042","-91.35345","29.63574",
"CRMS6088","-89.66222","30.3116",
"CRMS6090","-89.6628","30.32511",
"CRMS6209","-90.25989","30.37605",
"CRMS6299","-90.35142","30.05059",
"CRMS6301","-93.40959","29.96036",
"CRMS6302","-93.42292","30.03997",
"CRMS6303","-90.19157","29.47261",
"CRMS6304","-91.27523","29.42376",
